ward_code,ward,lga,state,worldpop_total,meta_total,meta_u5,grid3_v3_total,worldpop_u5
JI1304,Kasuwar Kofa,Hadejia,Jigawa,2216.2,1974.6,398.7,5239.4,440.3
JI0911,Zango,Gumel,Jigawa,11954.4,9539.4,1914.8,12678.1,2361.2
JI1301,Atafi,Hadejia,Jigawa,3676.6,2943.3,594.3,4769.5,730.4
JI0910,Kofar Yamma,Gumel,Jigawa,6355.2,5934.0,1191.1,8417.7,1255.3
JI1303,Gagulmari,Hadejia,Jigawa,7577.3,7158.1,1445.0,11431.8,1505.3
JI1308,Rumfa,Hadejia,Jigawa,2939.8,2961.9,598.1,5655.3,584.0
JI1306,Majema,Hadejia,Jigawa,5649.2,4750.3,959.2,7936.0,1122.2
JI0209,Kuzunzumi,Babura,Jigawa,28240.1,10751.2,2153.2,27298.9,5577.3
JI0604,Duru,Dutse,Jigawa,27529.1,25184.5,4930.5,52201.8,5325.3
JI1904,Garko,Kiyawa,Jigawa,8835.8,10739.9,2289.4,14770.2,1864.8
JI0101,Auyakayi,Auyo,Jigawa,9638.6,11916.3,2437.7,13890.3,1945.4
JI0304,Kiyako,Birnin Kudu,Jigawa,41155.8,38102.5,7657.5,45038.9,8187.0
JI2504,Danladi,Sule Tankarkar,Jigawa,20547.1,15118.7,2951.4,30541.3,3934.3
JI0208,Kanya,Babura,Jigawa,40823.1,46162.2,9224.5,47637.9,8069.8
JI0202,Batali,Babura,Jigawa,29441.0,20324.8,4062.7,29720.8,5813.7
JI2502,Amanga,Sule Tankarkar,Jigawa,15002.1,20220.6,3861.6,40317.7,2841.1
JI1704,Dandi,Kazaure,Jigawa,19629.5,20728.5,4229.8,23496.4,3945.3
JI0110,Unik,Auyo,Jigawa,36608.7,26104.3,5236.8,26850.3,7229.9
JI1004,Garbagal,Guri,Jigawa,21723.5,13521.1,2650.4,9880.7,4200.6
JI1806,Madachi,Kiri Kasama,Jigawa,18444.3,19517.8,3866.4,14752.2,3606.0
JI1003,Dawa,Guri,Jigawa,13991.9,15274.7,3002.6,14915.5,2717.9
JI1802,Bulunchai,Kiri Kasama,Jigawa,13356.0,17418.6,3450.3,10565.8,2610.6
JI2002,Dankumbo,Maigatari,Jigawa,14150.7,12151.4,2420.9,10970.8,2765.7
JI1005,Guri,Guri,Jigawa,24095.8,26673.9,5243.3,25842.3,4680.6
JI0505,Gantsa,Buji,Jigawa,14693.9,13267.4,2726.2,21841.0,2981.9
JI0103,Ayama,Auyo,Jigawa,17221.8,23253.2,4767.6,18771.5,3487.5
JI2507,Shabaru,Sule Tankarkar,Jigawa,7992.5,6596.0,1259.7,14551.7,1513.6
